"","X.1","X","Gender","Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","Property_Area","Loan_Status","HouseholdIncome","IncomePerDependent","type_of_client"
"70",70,70,0,0,0,1,0,4300,0,136,360,0,2,0,4300,4300,0
"71",71,71,1,1,0,1,0,3208,3066,172,360,1,3,1,6274,6274,0
"72",72,72,1,1,2,0,1,1875,1875,97,360,1,2,1,3750,1875,0
"73",73,73,1,0,0,1,0,3500,0,81,300,1,2,1,3500,3500,0
"74",74,74,1,1,3,0,0,4755,0,95,360,0,2,0,4755,1585,0
"75",75,75,1,1,3,1,1,5266,1774,187,360,1,2,1,7040,2346.66666666667,0
"76",76,76,1,0,0,1,0,3750,0,113,480,1,3,0,3750,3750,0
"77",77,77,1,0,0,1,0,3750,4750,176,360,1,3,0,8500,8500,0
"78",78,78,1,1,1,1,1,1000,3022,110,360,1,3,0,4022,4022,0
"79",79,79,1,1,3,1,0,3167,4000,180,300,0,2,0,7167,2389,0
"80",80,80,1,1,3,0,1,3333,2166,130,360,1,2,1,5499,1833,0
"81",81,81,0,0,0,1,0,3846,0,111,360,1,2,1,3846,3846,0
"82",82,82,1,1,1,1,1,2395,0,100,360,1,2,1,2395,2395,0
"83",83,83,0,1,2,1,0,1378,1881,167,360,1,3,0,3259,1629.5,0
"84",84,84,1,1,0,1,0,6000,2250,265,360,1,2,0,8250,8250,0
"85",85,85,1,1,1,1,0,3988,0,50,240,1,3,1,3988,3988,0
"86",86,86,1,0,0,1,0,2366,2531,136,360,1,2,1,4897,4897,0
"87",87,87,1,1,2,0,0,3333,2000,99,360,1,2,1,5333,2666.5,0
"88",88,88,1,1,0,1,0,2500,2118,104,360,1,2,1,4618,4618,0
"89",89,89,1,0,0,1,0,8566,0,210,360,1,3,1,8566,8566,0
"90",90,90,1,1,0,1,0,5695,4167,175,360,1,2,1,9862,9862,0
"91",91,91,1,1,0,1,0,2958,2900,131,360,1,2,1,5858,5858,0
"92",92,92,1,1,2,1,0,6250,5654,188,180,1,2,1,11904,5952,0
"93",93,93,1,1,2,0,0,3273,1820,81,360,1,3,1,5093,2546.5,0
"94",94,94,1,0,0,1,0,4133,0,122,360,1,2,1,4133,4133,0
"95",95,95,1,0,0,0,0,3620,0,25,120,1,2,1,3620,3620,0
"96",96,96,1,0,0,1,0,6782,0,136,360,1,3,0,6782,6782,0
"97",97,97,0,1,0,1,0,2484,2302,137,360,1,2,1,4786,4786,0
"98",98,98,1,1,0,1,0,1977,997,50,360,1,2,1,2974,2974,0
"99",99,99,1,1,0,0,0,4188,0,115,180,1,2,1,4188,4188,0
"100",100,100,1,1,0,1,0,1759,3541,131,360,1,2,1,5300,5300,0
"101",101,101,1,1,2,0,0,4288,3263,133,180,1,3,1,7551,3775.5,0
"102",102,102,1,0,0,1,0,4843,3806,151,360,1,2,1,8649,8649,0
"103",103,103,1,1,0,1,0,13650,0,151,360,1,3,1,13650,13650,1
"104",104,104,1,1,0,1,0,4652,3583,151,360,1,2,1,8235,8235,0
"105",105,105,1,1,2,1,0,3816,754,160,360,1,3,1,4570,2285,0
"106",106,106,1,1,1,1,0,3052,1030,100,360,1,3,1,4082,4082,0
"107",107,107,1,1,2,1,0,11417,1126,225,360,1,3,1,12543,6271.5,0
"108",108,108,1,0,0,0,0,7333,0,120,360,1,1,0,7333,7333,0
"109",109,109,1,1,2,1,0,3800,3600,216,360,0,3,0,7400,3700,0
"110",110,110,1,1,3,0,0,2071,754,94,480,1,2,1,2825,941.666666666667,0
"111",111,111,1,0,0,1,0,5316,0,136,360,1,3,1,5316,5316,0
"112",112,112,0,1,0,1,0,2929,2333,139,360,1,2,1,5262,5262,0
"113",113,113,1,1,0,0,0,3572,4114,152,360,0,1,0,7686,7686,0
"114",114,114,0,0,1,1,1,7451,0,110,360,1,2,1,7451,7451,0
"115",115,115,1,0,0,1,0,5050,0,118,360,1,2,1,5050,5050,0
"116",116,116,1,1,1,1,0,14583,0,185,180,1,1,1,14583,14583,1
"117",117,117,0,1,0,1,0,3167,2283,154,360,1,2,1,5450,5450,0
"118",118,118,1,1,1,1,0,2214,1398,85,360,1,3,1,3612,3612,0
"119",119,119,1,1,0,1,0,5568,2142,175,360,1,1,0,7710,7710,0
"120",120,120,0,0,0,1,0,10408,0,259,360,1,3,1,10408,10408,0
"121",121,121,1,1,0,1,0,5667,2667,180,360,1,1,1,8334,8334,0
"122",122,122,0,0,0,1,0,4166,0,44,360,1,2,1,4166,4166,0
"123",123,123,0,0,0,1,0,2137,8980,137,360,0,2,1,11117,11117,0
"124",124,124,1,1,2,1,0,2957,0,81,360,1,2,1,2957,1478.5,0
"125",125,125,1,1,0,0,0,4300,2014,194,360,1,1,1,6314,6314,0
"126",126,126,0,0,0,1,0,3692,0,93,360,1,1,1,3692,3692,0
"127",127,127,1,1,3,1,0,23803,0,370,360,1,1,1,23803,7934.33333333333,0
"128",128,128,1,0,0,1,0,3865,1640,113,360,1,1,1,5505,5505,0
"129",129,129,1,1,1,1,1,10513,3850,160,180,0,3,0,14363,14363,1
"130",130,130,1,1,0,1,0,6080,2569,182,360,1,1,0,8649,8649,0
"131",131,131,1,0,0,1,1,20166,0,650,480,1,3,1,20166,20166,1
"132",132,132,1,0,0,1,0,2014,1929,74,360,1,3,1,3943,3943,0
"133",133,133,1,0,0,1,0,2718,0,70,360,1,2,1,2718,2718,0
"134",134,134,1,1,0,1,1,3459,0,25,120,1,2,1,3459,3459,0
"135",135,135,1,0,0,1,0,4895,0,102,360,1,2,1,4895,4895,0
"136",136,136,1,1,3,1,0,4000,7750,290,360,1,2,0,11750,3916.66666666667,0
"137",137,137,0,1,0,1,0,4583,0,84,360,1,1,0,4583,4583,0
"138",138,138,1,1,2,1,1,3316,3500,88,360,1,3,1,6816,3408,0
"139",139,139,1,0,0,1,0,14999,0,242,360,0,2,0,14999,14999,1
"140",140,140,1,1,2,0,0,4200,1430,129,360,1,1,0,5630,2815,0
"141",141,141,1,1,2,1,0,5042,2083,185,360,1,1,0,7125,3562.5,0
"142",142,142,1,0,0,1,0,5417,0,168,360,1,3,1,5417,5417,0
"143",143,143,1,0,0,1,1,6950,0,175,180,1,2,1,6950,6950,0
"144",144,144,1,1,0,1,0,2698,2034,122,360,1,2,1,4732,4732,0
"145",145,145,1,1,2,1,0,11757,0,187,180,1,3,1,11757,5878.5,0
"146",146,146,0,1,0,1,0,2330,4486,100,360,1,2,1,6816,6816,0
"147",147,147,0,1,2,1,0,14866,0,70,360,1,3,1,14866,7433,0
"148",148,148,1,1,1,1,0,1538,1425,30,360,1,3,1,2963,2963,0
"149",149,149,0,0,0,1,0,10000,1666,225,360,1,1,0,11666,11666,1
"150",150,150,1,1,0,1,0,4860,830,125,360,1,2,1,5690,5690,0
"151",151,151,1,0,0,1,0,6277,0,118,360,0,1,0,6277,6277,0
"152",152,152,1,1,0,1,1,2577,3750,152,360,1,1,1,6327,6327,0
"153",153,153,1,0,0,1,0,9166,0,244,360,1,3,0,9166,9166,0
"154",154,154,1,1,2,0,0,2281,0,113,360,1,1,0,2281,1140.5,0
"155",155,155,1,0,0,1,0,3254,0,50,360,1,3,1,3254,3254,0
"156",156,156,1,1,3,1,0,39999,0,600,180,0,2,1,39999,13333,1
"157",157,157,1,1,1,1,0,6000,0,160,360,0,1,1,6000,6000,0
"158",158,158,1,1,1,1,0,9538,0,187,360,1,3,1,9538,9538,0
"159",159,159,1,0,0,1,0,2980,2083,120,360,1,1,1,5063,5063,0
"160",160,160,1,1,0,1,0,4583,5625,255,360,1,2,1,10208,10208,0
"161",161,161,1,1,0,0,0,1863,1041,98,360,1,2,1,2904,2904,0
"162",162,162,1,1,0,1,0,7933,0,275,360,1,3,0,7933,7933,0
"163",163,163,1,1,1,1,0,3089,1280,121,360,0,2,0,4369,4369,0
"164",164,164,1,1,2,1,0,4167,1447,158,360,1,1,1,5614,2807,0
"165",165,165,1,1,0,1,0,9323,0,75,180,1,3,1,9323,9323,0
"166",166,166,1,1,0,1,0,3707,3166,182,360,1,1,1,6873,6873,0
"167",167,167,0,1,0,1,0,4583,0,112,360,1,1,0,4583,4583,0
"168",168,168,1,1,0,1,0,2439,3333,129,360,1,1,1,5772,5772,0
"169",169,169,1,0,0,1,0,2237,0,63,480,0,2,0,2237,2237,0
"170",170,170,1,1,2,1,0,8000,0,200,360,1,2,1,8000,4000,0
"171",171,171,1,1,0,0,0,1820,1769,95,360,1,1,1,3589,3589,0
"172",172,172,0,1,3,1,0,51763,0,700,300,1,3,1,51763,17254.3333333333,1
"173",173,173,1,1,3,0,0,3522,0,81,180,1,1,0,3522,1174,0
"174",174,174,1,1,0,1,0,5708,5625,187,360,1,2,1,11333,11333,0
"175",175,175,1,1,0,0,1,4344,736,87,360,1,2,0,5080,5080,0
"176",176,176,1,1,0,1,0,3497,1964,116,360,1,1,1,5461,5461,0
"177",177,177,1,1,2,1,0,2045,1619,101,360,1,1,1,3664,1832,0
"178",178,178,1,1,3,1,0,5516,11300,495,360,0,2,0,16816,5605.33333333333,0
"179",179,179,1,1,1,1,0,3750,0,116,360,1,2,1,3750,3750,0
"180",180,180,1,0,0,0,0,2333,1451,102,480,0,3,0,3784,3784,0
"181",181,181,1,1,1,1,0,6400,7250,180,360,0,3,0,13650,13650,1
"182",182,182,1,0,0,1,0,1916,5063,67,360,1,1,0,6979,6979,0
"183",183,183,1,1,0,1,0,4600,0,73,180,1,2,1,4600,4600,0
"184",184,184,1,1,1,1,0,33846,0,260,360,1,2,0,33846,33846,1
"185",185,185,0,1,0,1,0,3625,0,108,360,1,2,1,3625,3625,0
"186",186,186,1,1,0,1,1,39147,4750,120,360,1,2,1,43897,43897,1
"187",187,187,1,1,1,1,1,2178,0,66,300,0,1,0,2178,2178,0
"188",188,188,1,1,0,1,0,2383,2138,58,360,1,1,1,4521,4521,0
"189",189,189,0,1,0,1,1,674,5296,168,360,1,1,1,5970,5970,0
"190",190,190,1,1,0,1,0,9328,0,188,180,1,1,1,9328,9328,0
"191",191,191,1,0,0,0,0,4885,0,48,360,1,1,1,4885,4885,0
"192",192,192,1,0,0,1,0,12000,0,164,360,1,2,0,12000,12000,1
"193",193,193,1,1,0,0,0,6033,0,160,360,1,3,0,6033,6033,0
"194",194,194,1,0,0,1,0,3858,0,76,360,1,2,1,3858,3858,0
"195",195,195,1,0,0,1,0,4191,0,120,360,1,1,1,4191,4191,0
"196",196,196,1,1,1,1,0,3125,2583,170,360,1,2,0,5708,5708,0
"197",197,197,1,0,0,1,0,8333,3750,187,360,1,1,1,12083,12083,1
"198",198,198,0,0,0,0,0,1907,2365,120,360,1,3,1,4272,4272,0
"199",199,199,0,1,0,1,0,3416,2816,113,360,1,2,1,6232,6232,0
"200",200,200,1,0,0,1,1,11000,0,83,360,1,3,0,11000,11000,0
"201",201,201,1,1,1,0,0,2600,2500,90,360,1,2,1,5100,5100,0
"202",202,202,1,0,2,1,0,4923,0,166,360,0,2,1,4923,2461.5,0
"203",203,203,1,1,3,0,0,3992,0,187,180,1,3,0,3992,1330.66666666667,0
"204",204,204,1,1,1,0,0,3500,1083,135,360,1,3,1,4583,4583,0
"205",205,205,1,1,2,0,0,3917,0,124,360,1,2,1,3917,1958.5,0
"206",206,206,0,0,0,0,0,4408,0,120,360,1,2,1,4408,4408,0
"207",207,207,0,0,0,1,0,3244,0,80,360,1,3,1,3244,3244,0
"208",208,208,1,0,0,0,0,3975,2531,55,360,1,1,1,6506,6506,0
"209",209,209,1,0,0,1,0,2479,0,59,360,1,3,1,2479,2479,0
"210",210,210,1,0,0,1,0,3418,0,127,360,1,2,0,3418,3418,0
"211",211,211,0,0,0,1,0,10000,0,214,360,1,2,0,10000,10000,0
"212",212,212,1,1,3,1,0,3430,1250,128,360,0,2,0,4680,1560,0
"213",213,213,1,1,1,1,1,7787,0,240,360,1,3,1,7787,7787,0
"214",214,214,1,1,3,0,1,5703,0,130,360,1,1,1,5703,1901,0
"215",215,215,1,1,0,1,0,3173,3021,137,360,1,3,1,6194,6194,0
"216",216,216,1,1,3,0,0,3850,983,100,360,1,2,1,4833,1611,0
"217",217,217,1,1,0,1,0,150,1800,135,360,1,1,0,1950,1950,0
"218",218,218,1,1,0,1,0,3727,1775,131,360,1,2,1,5502,5502,0
"219",219,219,1,1,2,1,1,5000,0,72,360,0,2,0,5000,2500,0
"220",220,220,0,1,2,1,0,4283,2383,127,360,1,2,1,6666,3333,0
"221",221,221,1,1,0,1,0,2221,0,60,360,0,3,0,2221,2221,0
"222",222,222,1,1,2,1,0,4009,1717,116,360,1,2,1,5726,2863,0
"223",223,223,1,0,0,1,0,2971,2791,144,360,1,2,1,5762,5762,0
"224",224,224,1,1,0,1,0,7578,1010,175,60,1,2,1,8588,8588,0
"225",225,225,1,1,0,1,0,6250,0,128,360,1,2,1,6250,6250,0
"226",226,226,1,1,0,1,0,3250,0,170,360,1,1,0,3250,3250,0
"227",227,227,1,1,2,0,1,4735,0,138,360,1,3,0,4735,2367.5,0
"228",228,228,1,1,2,1,0,6250,1695,210,360,1,2,1,7945,3972.5,0
"229",229,229,1,1,0,1,0,4758,0,158,480,1,2,1,4758,4758,0
"230",230,230,1,0,0,1,1,6400,0,200,360,1,1,1,6400,6400,0
"231",231,231,1,1,1,1,0,2491,2054,104,360,1,2,1,4545,4545,0
"232",232,232,1,1,0,1,0,3716,0,42,180,1,1,1,3716,3716,0
"233",233,233,1,0,0,0,0,3189,2598,120,360,1,1,1,5787,5787,0
"234",234,234,0,0,0,1,0,8333,0,280,360,1,2,1,8333,8333,0
"235",235,235,1,1,1,1,0,3155,1779,140,360,1,2,1,4934,4934,0
"236",236,236,1,1,1,1,0,5500,1260,170,360,1,1,1,6760,6760,0
"237",237,237,1,1,0,1,0,5746,0,255,360,1,3,0,5746,5746,0
"238",238,238,0,0,0,1,1,3463,0,122,360,1,3,1,3463,3463,0
"239",239,239,0,0,1,1,0,3812,0,112,360,1,1,1,3812,3812,0
"240",240,240,1,1,1,1,0,3315,0,96,360,1,2,1,3315,3315,0
"241",241,241,1,1,2,1,0,5819,5000,120,360,1,1,1,10819,5409.5,0
"242",242,242,1,1,1,0,0,2510,1983,140,180,1,3,0,4493,4493,0
"243",243,243,1,0,0,1,0,2965,5701,155,60,1,3,1,8666,8666,0
"244",244,244,1,1,2,1,1,6250,1300,108,360,1,1,1,7550,3775,0
"245",245,245,1,1,0,0,0,3406,4417,123,360,1,2,1,7823,7823,0
"246",246,246,1,0,0,1,1,6050,4333,120,180,1,3,0,10383,10383,0
"247",247,247,1,1,2,1,0,9703,0,112,360,1,3,1,9703,4851.5,0
"248",248,248,1,1,1,0,0,6608,0,137,180,1,3,1,6608,6608,0
"249",249,249,1,1,1,1,0,2882,1843,123,480,1,2,1,4725,4725,0
"250",250,250,1,1,0,1,0,1809,1868,90,360,1,3,1,3677,3677,0
"251",251,251,1,1,0,0,0,1668,3890,201,360,0,2,0,5558,5558,0
"252",252,252,0,0,2,1,0,3427,0,138,360,1,3,0,3427,1713.5,0
"253",253,253,1,0,0,0,1,2583,2167,104,360,1,1,1,4750,4750,0
"254",254,254,1,1,1,0,0,2661,7101,279,180,1,2,1,9762,9762,0
"255",255,255,1,0,0,1,1,16250,0,192,360,0,3,0,16250,16250,1
"256",256,256,0,0,3,1,0,3083,0,255,360,1,1,1,3083,1027.66666666667,0
"257",257,257,1,0,0,0,0,6045,0,115,360,0,1,0,6045,6045,0
"258",258,258,1,1,3,1,0,5250,0,94,360,1,3,0,5250,1750,0
"259",259,259,1,1,0,1,0,14683,2100,304,360,1,1,0,16783,16783,1
"260",260,260,1,1,3,0,0,4931,0,128,360,1,2,0,4931,1643.66666666667,0
"261",261,261,1,1,1,1,0,6083,4250,330,360,1,3,1,10333,10333,0
"262",262,262,1,0,0,1,0,2060,2209,134,360,1,2,1,4269,4269,0
"263",263,263,0,0,1,1,0,3481,0,155,36,1,2,0,3481,3481,0
"264",264,264,0,0,0,1,0,7200,0,120,360,1,1,1,7200,7200,0
"265",265,265,1,0,0,1,1,5166,0,128,360,1,2,1,5166,5166,0
"266",266,266,1,0,0,1,0,4095,3447,151,360,1,1,1,7542,7542,0
"267",267,267,1,1,2,1,0,4708,1387,150,360,1,2,1,6095,3047.5,0
"268",268,268,1,1,3,1,0,4333,1811,160,360,0,3,1,6144,2048,0
"269",269,269,0,0,0,1,1,3418,0,135,360,1,1,0,3418,3418,0
"270",270,270,0,0,1,1,0,2876,1560,90,360,1,3,1,4436,4436,0
"271",271,271,0,0,0,1,0,3237,0,30,360,1,3,1,3237,3237,0
"272",272,272,1,1,0,1,0,11146,0,136,360,1,3,1,11146,11146,0
"273",273,273,1,0,0,1,0,2833,1857,126,360,1,1,1,4690,4690,0
"274",274,274,1,1,0,1,0,2620,2223,150,360,1,2,1,4843,4843,0
"275",275,275,1,1,2,1,0,3900,0,90,360,1,2,1,3900,1950,0
"276",276,276,1,1,1,1,0,2750,1842,115,360,1,2,1,4592,4592,0
"277",277,277,1,1,0,1,0,3993,3274,207,360,1,2,1,7267,7267,0
"278",278,278,1,1,0,1,0,3103,1300,80,360,1,3,1,4403,4403,0
"279",279,279,1,1,0,1,0,14583,0,436,360,1,2,1,14583,14583,1
"280",280,280,0,1,0,0,0,4100,0,124,360,1,1,1,4100,4100,0
"281",281,281,1,0,1,0,1,4053,2426,158,360,0,3,0,6479,6479,0
"282",282,282,1,1,0,1,0,3927,800,112,360,1,2,1,4727,4727,0
"283",283,283,1,1,2,1,0,2301,985.7999878,78,180,1,3,1,3286.7999878,1643.3999939,0
"284",284,284,0,0,0,1,0,1811,1666,54,360,1,3,1,3477,3477,0
"285",285,285,1,1,0,1,0,20667,0,242,360,1,1,0,20667,20667,1
"286",286,286,1,0,0,1,0,3158,3053,89,360,1,1,1,6211,6211,0
"287",287,287,0,0,0,1,1,2600,1717,99,300,1,2,0,4317,4317,0
"288",288,288,1,1,0,1,0,3704,2000,120,360,1,1,1,5704,5704,0
"289",289,289,0,0,0,1,0,4124,0,115,360,1,2,1,4124,4124,0
"290",290,290,1,0,0,1,0,9508,0,187,360,1,1,1,9508,9508,0
"291",291,291,1,1,0,1,0,3075,2416,139,360,1,1,1,5491,5491,0
"292",292,292,1,1,2,1,0,4400,0,127,360,0,2,0,4400,2200,0
"293",293,293,1,1,2,1,0,3153,1560,134,360,1,3,1,4713,2356.5,0
"294",294,294,0,0,0,1,0,5417,0,143,480,0,3,0,5417,5417,0
"295",295,295,1,1,0,1,0,2383,3334,172,360,1,2,1,5717,5717,0
"296",296,296,1,1,3,1,0,4416,1250,110,360,1,3,1,5666,1888.66666666667,0
"297",297,297,1,1,1,1,0,6875,0,200,360,1,2,1,6875,6875,0
"298",298,298,0,1,1,1,0,4666,0,135,360,1,3,1,4666,4666,0
"299",299,299,0,0,0,1,0,5000,2541,151,480,1,1,0,7541,7541,0
"300",300,300,1,1,1,1,0,2014,2925,113,360,1,3,0,4939,4939,0
"301",301,301,1,1,0,0,0,1800,2934,93,360,0,3,0,4734,4734,0
"302",302,302,1,1,2,0,0,2875,1750,105,360,1,2,1,4625,2312.5,0
"303",303,303,0,0,0,1,0,5000,0,132,360,1,1,1,5000,5000,0
"304",304,304,1,1,1,1,0,1625,1803,96,360,1,3,1,3428,3428,0
"305",305,305,1,0,0,1,0,4000,2500,140,360,1,1,1,6500,6500,0
"306",306,306,1,0,0,0,0,2000,0,151,360,1,3,0,2000,2000,0
"307",307,307,0,0,0,1,0,3762,1666,135,360,1,1,1,5428,5428,0
"308",308,308,0,0,0,1,0,2400,1863,104,360,0,3,0,4263,4263,0
"309",309,309,1,0,0,1,0,20233,0,480,360,1,1,0,20233,20233,1
"310",310,310,1,1,2,0,0,7667,0,185,360,1,1,1,7667,3833.5,0
"311",311,311,0,0,0,1,0,2917,0,84,360,1,2,1,2917,2917,0
"312",312,312,1,0,0,0,0,2927,2405,111,360,1,2,1,5332,5332,0
"313",313,313,0,0,0,1,0,2507,0,56,360,1,1,1,2507,2507,0
"314",314,314,1,1,2,1,1,5746,0,144,84,1,1,1,5746,2873,0
"315",315,315,1,1,0,1,0,2473,1843,159,360,1,1,0,4316,4316,0
"316",316,316,1,1,1,0,0,3399,1640,111,180,1,3,1,5039,5039,0
"317",317,317,1,1,2,1,0,3717,0,120,360,1,2,1,3717,1858.5,0
"318",318,318,1,1,0,1,0,2058,2134,88,360,1,3,1,4192,4192,0
"319",319,319,0,0,1,1,0,3541,0,112,360,1,2,1,3541,3541,0
"320",320,320,1,1,1,1,1,10000,0,155,360,1,1,0,10000,10000,0
"321",321,321,1,1,0,1,0,2400,2167,115,360,1,2,1,4567,4567,0
"322",322,322,1,1,3,1,0,4342,189,124,360,1,2,1,4531,1510.33333333333,0
"323",323,323,1,1,2,0,0,3601,1590,70,360,1,1,1,5191,2595.5,0
"324",324,324,0,0,0,1,0,3166,2985,132,360,1,1,1,6151,6151,0
"325",325,325,1,1,3,1,0,15000,0,300,360,1,1,1,15000,5000,0
"326",326,326,1,1,1,1,1,8666,4983,376,360,0,1,0,13649,13649,1
"327",327,327,1,0,0,1,0,4917,0,130,360,0,1,1,4917,4917,0
"328",328,328,1,1,0,1,1,5818,2160,184,360,1,2,1,7978,7978,0
"329",329,329,0,1,0,1,0,4333,2451,110,360,1,3,0,6784,6784,0
"330",330,330,0,0,0,1,0,2500,0,67,360,1,3,1,2500,2500,0
"331",331,331,1,0,1,1,0,4384,1793,117,360,1,3,1,6177,6177,0
"332",332,332,1,0,0,1,0,2935,0,98,360,1,2,1,2935,2935,0
"333",333,333,1,0,1,1,0,2833,0,71,360,1,3,1,2833,2833,0
"334",334,334,1,1,0,1,1,63337,0,490,180,1,3,1,63337,63337,1
"335",335,335,1,1,1,1,1,9833,1833,182,180,1,3,1,11666,11666,1
"336",336,336,1,1,0,1,1,5503,4490,70,360,1,2,1,9993,9993,0
